id,date,protocol_number,doctor_id,patient_name,tc_no,questions_and_answers,final_diagnosis,medicine,are_you_healed,satisfaction_level
1,5/17/2025 15:18,2025051701,123456,Orkun Yılmaz,12345678912,"[[""Baş ağrısı var mı?"", ""yes""], [""Baş ağrısı tekrarlayıcı mı?"", ""yes""], [""Baş ağrısı genellikle tek taraflı mı?"", ""no""], [""Ağrı ışık veya ses hassasiyeti yaratıyor mu?"", ""yes""]]",Migren,"Sumatriptan,Rizatriptan,Ergotamin (daha eski tip ilaçlarda),Naproksen (atağa destek amaçlı)",yes,1
2,5/17/2025 15:18,2025051702,123456,Orkun Yılmaz,12345678912,"[[""Ateşiniz var mı?"", ""no""], [""Aşı türünüzü biliyor musunuz?"", ""yes""], [""Hangi aşı türünü oldunuz? (mRNA/Vektör)"", ""no""]]",,,no,2
3,5/17/2025 15:19,2025051703,123456,Burak Kırlı,22222222222,"[[""Ateşiniz var mı?"", ""yes""], [""Öksürüğünüz var mı?"", ""no""], [""Son 14 gün içinde bir COVID-19 hastasıyla temasınız oldu mu?"", ""yes""]]",COVID-19 Şüphesi (Test Önerilir),PCR Testi Önerilir,yes,1
4,5/17/2025 15:19,2025051704,123456,Mustafa Cüneyt Kafes,15915915914,"[[""Ateşiniz var mı?"", ""no""], [""Aşı türünüzü biliyor musunuz?"", ""no""], [""Son 14 gün içinde bir COVID-19 hastasıyla temasınız oldu mu?"", ""no""]]",COVID-19 Olasılığı Çok Düşük,Önlem alınmaya devam edilmeli,yes,4
5,5/17/2025 15:21,2025051705,12345,Duygu Kır,35735765478,"[[""Ateşiniz var mı?"", ""yes""], [""Öksürüğünüz var mı?"", ""yes""], [""Kuru öksürük mü?"", ""yes""], [""Nefes almakta zorluk çekiyor musunuz?"", ""yes""]]",COVID-19 veya Bronşit Olabilir.,Azitromisin,yes,3
6,5/17/2025 15:21,2025051706,12345,Duygu Kır,35735765478,"[[""Baş ağrısı var mı?"", ""no""], [""Başka belirtiler mevcut mu?"", ""no""]]",Migren düşünülmez,,no,5
7,5/17/2025 15:21,2025051707,12345,Duygu Kır,35735765478,"[[""Ateşiniz var mı?"", ""yes""], [""Öksürüğünüz var mı?"", ""yes""], [""Nefes almakta zorluk çekiyor musunuz?"", ""yes""]]",COVID-19 Olabilir,"Antiviral ilaçlar bazı durumlarda: Nirmatrelvir + Ritonavir (Paxlovid içerikleri)\nSemptomatik tedavi:Parasetamol (ateş için), Ibuprofen (semptom kontrolü için)",,
8,5/17/2025 15:21,2025051708,12345,Duygu Kır,35735765478,"[[""Baş ağrısı var mı?"", ""no""], [""Başka belirtiler mevcut mu?"", ""no""]]",Migren düşünülmez,,yes,4
9,5/17/2025 15:24,2025051709,123456789,Emre Armağan,45454545454,"[[""Baş ağrısı var mı?"", ""no""], [""Başka belirtiler mevcut mu?"", ""no""]]",Migren düşünülmez,,no,1
10,5/17/2025 15:24,2025051710,123456789,Emre Armağan,45454545454,"[[""Ateşiniz var mı?"", ""yes""], [""Öksürüğünüz var mı?"", ""yes""], [""Nefes almakta zorluk çekiyor musunuz?"", ""yes""]]",COVID-19 Olabilir,"Antiviral ilaçlar bazı durumlarda: Nirmatrelvir + Ritonavir (Paxlovid içerikleri)\nSemptomatik tedavi:Parasetamol (ateş için), Ibuprofen (semptom kontrolü için)",yes,5
11,5/17/2025 15:24,2025051711,123456789,Emre Armağan,45454545454,"[[""Ateşiniz var mı?"", ""yes""], [""Öksürüğünüz var mı?"", ""yes""], [""Kuru öksürük mü?"", ""yes""], [""Nefes almakta zorluk çekiyor musunuz?"", ""no""], [""Halsizlik hissediyor musunuz?"", ""yes""]]",Grip Olabilir.,"Oseltamivir (antiviral, ağır vakalarda),Parasetamol,Ibuprofen",yes,4
